 ,B,C,D,E,F,G,H,I,J,K,L,M
1,0,0,0,1,5,4,4,3,3,3,4,5
2,0,0,0,0,3,3,3,3,3,3,3,3
3,0,1,1,0,4,3,4,5,4,5,5,4
4,0,0,0,1,4,3,2,5,3,3,2,3
5,0,1,1,1,3,3,2,3,4,5,4,2
6,0,0,0,1,4,4,4,2,2,5,5,4
7,0,0,0,1,5,3,3,4,2,5,1,4
8,0,1,0,1,3,3,2,2,2,3,3,4
9,1,1,1,1,5,3,3,4,4,3,4,4
10,0,0,0,1,5,4,3,2,2,2,5,5
11,0,1,1,1,4,4,1,2,2,3,3,3
12,0,0,0,1,4,2,3,2,4,5,2,4
13,0,1,1,0,5,5,4,5,4,3,2,4
14,0,0,0,1,3,4,2,3,4,3,3,3
15,1,0,1,0,1,5,1,4,1,5,1,5
16,0,0,0,1,5,5,5,4,1,4,4,5
17,0,1,1,1,4,2,1,5,5,3,1,3
18,0,0,1,1,3,4,3,3,4,2,4,4
19,0,1,1,1,4,5,4,4,4,5,4,5
20,0,0,0,1,4,4,4,3,2,4,4,4
21,0,0,0,0,5,5,5,5,5,3,3,1
22,0,0,0,1,5,4,4,4,4,4,5,5
23,0,0,0,0,3,3,3,3,4,5,5,4
24,0,1,1,1,4,3,3,4,4,5,5,4
25,0,0,0,1,5,4,4,4,4,5,5,5
26,0,0,1,1,4,4,4,4,4,4,2,4
27,0,0,0,1,3,5,3,2,2,5,5,4
28,0,1,1,0,3,4,2,2,4,2,3,3
29,0,1,0,0,3,5,4,5,5,3,3,3
30,0,1,1,1,4,3,2,3,3,3,2,3
31,0,0,0,1,5,5,5,4,3,1,3,5
32,0,0,0,1,5,5,4,3,3,4,5,5
33,0,1,1,1,4,3,3,2,5,5,5,4
34,1,0,1,1,4,3,5,2,2,4,1,3
35,0,0,0,0,3,4,3,3,4,3,1,2
36,0,0,0,0,1,2,2,3,1,5,2,1
37,0,0,1,1,3,3,2,3,4,1,2,2
38,0,0,1,0,1,5,5,1,5,5,5,1
39,0,1,1,1,3,2,4,3,3,5,3,3
40,0,0,0,1,4,2,3,1,4,4,1,3
41,0,1,1,0,3,2,2,4,4,3,1,2
42,1,1,1,1,5,5,3,3,3,1,2,5
43,0,1,1,1,3,2,1,1,2,4,4,3
44,0,0,0,1,4,3,3,4,3,5,5,4
45,0,1,1,1,3,5,4,5,5,4,4,4
46,0,1,1,1,4,2,2,2,2,2,2,3
47,0,1,1,0,5,4,4,3,4,5,4,4
48,0,0,0,1,5,5,5,5,4,4,4,5
49,0,0,1,0,5,2,2,3,2,4,3,3
50,1,1,1,1,5,4,2,3,3,5,1,3
51,1,1,1,1,4,5,4,3,3,3,4,4
52,1,1,1,1,5,5,4,3,3,5,2,5
53,0,1,1,0,3,3,3,3,3,3,3,3
54,0,1,1,0,3,3,2,2,4,2,2,2
55,0,1,1,1,4,5,4,3,3,5,5,4
56,1,1,1,1,4,4,4,2,2,4,4,5
57,1,0,0,1,5,5,5,2,2,1,3,5
58,0,0,0,0,3,2,2,3,4,4,3,3
59,1,1,0,1,5,2,5,4,4,3,4,5
60,0,1,0,1,5,4,4,4,3,5,5,5
61,1,1,1,0,5,5,4,3,3,5,5,4
62,0,0,1,1,4,4,3,3,3,3,2,3
63,0,1,1,0,2,3,2,3,1,4,3,2
64,0,1,1,1,4,5,3,2,1,2,4,5
65,0,1,1,1,2,2,2,1,3,4,4,4
66,1,0,0,1,3,3,3,2,3,3,3,3
67,0,0,0,1,5,5,5,5,5,5,5,5
68,0,1,1,0,3,2,1,4,4,3,3,2
69,0,0,0,0,2,3,2,4,3,4,4,2
70,0,0,0,1,5,5,5,3,3,4,4,5
71,0,0,1,0,3,3,3,3,3,3,3,3
72,1,0,0,1,4,3,3,3,3,4,4,4
73,1,0,0,1,4,4,4,3,4,5,5,4
74,0,1,1,1,3,3,2,2,4,5,4,3
75,0,1,1,1,5,5,5,4,4,3,4,5
76,0,1,1,1,3,3,2,2,1,3,2,3
77,1,1,1,0,3,4,3,5,5,3,3,2
78,0,0,1,1,4,5,4,5,5,5,4,4
79,0,1,1,1,4,4,3,3,4,5,3,3
80,0,1,1,1,3,2,2,1,2,1,3,2
81,0,1,1,1,4,4,4,3,3,1,4,4
82,0,1,1,1,5,5,4,5,4,5,5,5
83,0,1,1,1,4,4,4,2,2,1,3,3
84,1,0,0,0,2,2,2,2,2,1,2,2
85,0,0,1,0,4,5,5,3,2,4,4,4
86,0,1,1,1,5,4,4,5,5,3,2,4
87,0,1,1,0,4,3,3,4,2,3,3,3
88,0,1,1,1,4,4,5,4,3,5,5,4
89,0,1,0,1,4,3,4,3,3,4,4,4
90,1,0,0,1,4,2,3,3,3,3,3,3
91,0,0,0,0,4,4,3,4,4,5,3,3
92,0,0,0,0,2,3,4,3,2,1,2,2
93,0,1,1,0,4,2,2,2,2,4,4,4
94,1,0,0,1,4,2,4,3,3,4,4,4
95,0,0,0,0,1,1,5,4,1,1,1,1
96,0,0,0,1,4,4,4,3,4,5,4,4
97,1,0,0,1,4,4,4,3,4,4,4,4
98,1,0,0,1,4,4,3,3,3,4,4,4
99,0,1,1,0,2,2,2,2,1,4,4,2
100,0,0,0,1,4,4,4,3,4,4,4,4
101,1,1,0,1,5,5,5,3,3,5,5,5
102,0,1,1,1,5,3,4,4,4,2,3,4
103,1,0,1,1,5,5,5,4,3,5,5,5
104,0,1,0,0,3,4,4,3,3,4,4,4
105,0,0,0,0,4,4,2,3,4,4,4,3
106,1,0,0,1,5,3,3,3,3,4,3,3
107,0,1,1,1,5,4,4,4,3,5,5,5
108,1,1,1,0,3,2,1,1,3,3,1,3
109,0,1,1,0,3,4,4,2,2,1,2,3
110,0,0,0,0,4,4,4,2,2,5,2,4
111,1,1,1,1,5,5,5,4,4,2,5,5
112,0,0,1,1,5,4,4,2,2,3,4,5
113,1,1,1,1,4,3,4,2,2,4,3,3
114,0,0,0,1,4,5,4,3,3,4,4,4
115,1,1,1,1,5,4,4,3,3,5,5,5
116,0,0,0,1,4,4,3,3,4,5,5,4
117,0,1,1,1,4,5,5,2,1,2,2,4
118,1,0,0,1,5,5,5,3,3,3,2,5
119,0,1,1,0,3,2,2,3,5,1,4,4
120,0,1,1,1,5,5,4,3,3,3,4,4
121,0,1,1,0,3,2,2,3,5,1,4,4
122,0,1,0,0,2,2,2,2,3,3,3,2
123,1,1,1,1,5,3,4,3,4,5,3,5
124,0,1,1,1,4,4,3,3,3,2,3,4
125,0,0,0,1,4,4,3,3,4,5,5,4
126,0,0,0,1,4,4,4,3,2,3,2,4
127,0,1,1,1,4,4,4,3,3,3,2,4
128,0,1,1,1,4,2,2,1,1,5,5,1
129,0,0,1,0,2,1,1,3,3,2,1,1
130,0,0,0,1,3,3,3,4,1,1,1,3
131,0,1,1,1,4,3,4,4,4,4,4,4
132,0,1,1,1,4,4,3,3,5,4,4,4
133,0,0,0,1,5,5,3,3,5,5,5,5
134,0,0,0,1,4,4,4,4,4,4,4,4
135,0,1,1,1,4,4,4,3,3,5,5,4
136,0,1,1,1,5,5,5,5,5,2,5,5
137,1,1,1,1,5,5,5,2,2,4,5,5
138,1,1,1,1,5,4,3,5,5,5,5,5
139,0,1,1,1,5,5,5,4,4,3,4,5
140,0,0,0,1,4,4,4,3,2,1,3,4
141,0,1,1,1,3,3,3,5,5,4,3,4
142,1,0,0,1,1,1,1,1,1,1,1,1
143,0,1,1,1,4,3,3,3,4,2,3,4
144,0,1,1,1,4,4,4,2,2,2,3,4
145,0,1,0,1,3,4,4,3,3,1,2,3
146,0,1,1,1,4,4,4,2,3,3,3,3
147,0,1,1,1,4,4,3,3,5,4,4,4
148,0,0,0,1,4,3,4,3,4,2,4,4
149,0,1,1,0,4,4,5,5,5,4,4,4
150,0,0,0,0,3,2,3,3,3,2,4,3
151,0,1,0,0,2,2,4,2,2,4,3,2
152,0,0,0,1,4,5,4,5,5,5,4,5
153,1,1,1,1,5,4,3,3,2,3,5,4
